date,tag,questions_count,ma7
2025-11-01,android,7,7.0
2025-11-02,android,3,5.0
2025-11-03,android,14,8.0
2025-11-04,android,10,8.5
2025-11-05,android,17,10.2
2025-11-06,android,6,9.5
2025-11-07,android,9,9.428571428571429
2025-11-08,android,5,9.142857142857142
2025-11-09,android,5,9.428571428571429
2025-11-10,android,8,8.571428571428571
2025-11-11,android,10,8.571428571428571
2025-11-12,android,6,7.0
2025-11-13,android,9,7.428571428571429
2025-11-14,android,9,7.428571428571429
2025-11-15,android,13,8.571428571428571
2025-11-16,android,2,8.142857142857142
2025-11-17,android,7,8.0
2025-11-18,android,9,7.857142857142857
2025-11-19,android,11,8.571428571428571
2025-11-20,android,5,8.0
2025-11-21,android,8,7.857142857142857
2025-11-22,android,5,6.714285714285714
2025-11-23,android,5,7.142857142857143
2025-11-24,android,9,7.428571428571429
2025-11-25,android,7,7.142857142857143
2025-11-26,android,12,7.285714285714286
2025-11-27,android,8,7.714285714285714
2025-11-28,android,8,7.714285714285714
2025-11-29,android,3,7.428571428571429
2025-11-30,android,6,7.571428571428571
2025-12-01,android,8,7.428571428571429
2025-12-02,android,14,8.428571428571429
2025-12-03,android,13,8.571428571428571
2025-12-04,android,8,8.571428571428571
2025-12-05,android,4,8.0
2025-12-06,android,2,7.857142857142857
2025-12-07,android,4,7.571428571428571
2025-12-08,android,2,6.714285714285714
2025-12-09,android,11,6.285714285714286
2025-12-10,android,13,6.285714285714286
2025-12-11,android,4,5.714285714285714
2025-12-12,android,3,5.571428571428571
2025-12-13,android,3,5.714285714285714
2025-12-14,android,2,5.428571428571429
2025-12-15,android,6,6.0
2025-12-16,android,9,5.714285714285714
2025-12-17,android,9,5.142857142857143
2025-12-18,android,12,6.285714285714286
2025-12-19,android,5,6.571428571428571
2025-12-20,android,7,7.142857142857143
2025-12-21,android,4,7.428571428571429
2025-12-22,android,9,7.857142857142857
2025-12-23,android,12,8.285714285714286
2025-12-24,android,4,7.571428571428571
2025-12-25,android,2,6.142857142857143
2025-12-26,android,2,5.714285714285714
2025-12-27,android,3,5.142857142857143
2025-12-28,android,2,4.857142857142857
2025-12-29,android,6,4.428571428571429
2025-12-30,android,12,4.428571428571429
2025-12-31,android,5,4.571428571428571
2025-11-01,flutter,6,6.0
2025-11-02,flutter,0,3.0
2025-11-03,flutter,8,4.666666666666667
2025-11-04,flutter,2,4.0
2025-11-05,flutter,10,5.2
2025-11-06,flutter,7,5.5
2025-11-07,flutter,2,5.0
2025-11-08,flutter,3,4.571428571428571
2025-11-09,flutter,2,4.857142857142857
2025-11-10,flutter,5,4.428571428571429
2025-11-11,flutter,9,5.428571428571429
2025-11-12,flutter,4,4.571428571428571
2025-11-13,flutter,3,4.0
2025-11-14,flutter,3,4.142857142857143
2025-11-15,flutter,6,4.571428571428571
2025-11-16,flutter,0,4.285714285714286
2025-11-17,flutter,3,4.0
2025-11-18,flutter,4,3.2857142857142856
2025-11-19,flutter,8,3.857142857142857
2025-11-20,flutter,4,4.0
2025-11-21,flutter,1,3.7142857142857144
2025-11-22,flutter,3,3.2857142857142856
2025-11-23,flutter,2,3.5714285714285716
2025-11-24,flutter,5,3.857142857142857
2025-11-25,flutter,9,4.571428571428571
2025-11-26,flutter,5,4.142857142857143
2025-11-27,flutter,5,4.285714285714286
2025-11-28,flutter,4,4.714285714285714
2025-11-29,flutter,3,4.714285714285714
2025-11-30,flutter,2,4.714285714285714
2025-12-01,flutter,5,4.714285714285714
2025-12-02,flutter,8,4.571428571428571
2025-12-03,flutter,5,4.571428571428571
2025-12-04,flutter,5,4.571428571428571
2025-12-05,flutter,2,4.285714285714286
2025-12-06,flutter,2,4.142857142857143
2025-12-07,flutter,0,3.857142857142857
2025-12-08,flutter,3,3.5714285714285716
2025-12-09,flutter,6,3.2857142857142856
2025-12-10,flutter,7,3.5714285714285716
2025-12-11,flutter,4,3.4285714285714284
2025-12-12,flutter,2,3.4285714285714284
2025-12-13,flutter,3,3.5714285714285716
2025-12-14,flutter,2,3.857142857142857
2025-12-15,flutter,2,3.7142857142857144
2025-12-16,flutter,6,3.7142857142857144
2025-12-17,flutter,4,3.2857142857142856
2025-12-18,flutter,4,3.2857142857142856
2025-12-19,flutter,5,3.7142857142857144
2025-12-20,flutter,4,3.857142857142857
2025-12-21,flutter,0,3.5714285714285716
2025-12-22,flutter,2,3.5714285714285716
2025-12-23,flutter,3,3.142857142857143
2025-12-24,flutter,4,3.142857142857143
2025-12-25,flutter,2,2.857142857142857
2025-12-26,flutter,2,2.4285714285714284
2025-12-27,flutter,1,2.0
2025-12-28,flutter,5,2.7142857142857144
2025-12-29,flutter,2,2.7142857142857144
2025-12-30,flutter,6,3.142857142857143
2025-12-31,flutter,1,2.7142857142857144
2025-11-01,ios,3,3.0
2025-11-02,ios,1,2.0
2025-11-03,ios,9,4.333333333333333
2025-11-04,ios,7,5.0
2025-11-05,ios,6,5.2
2025-11-06,ios,7,5.5
2025-11-07,ios,2,5.0
2025-11-08,ios,2,4.857142857142857
2025-11-09,ios,1,4.857142857142857
2025-11-10,ios,5,4.285714285714286
2025-11-11,ios,6,4.142857142857143
2025-11-12,ios,8,4.428571428571429
2025-11-13,ios,3,3.857142857142857
2025-11-14,ios,10,5.0
2025-11-15,ios,3,5.142857142857143
2025-11-16,ios,2,5.285714285714286
2025-11-17,ios,5,5.285714285714286
2025-11-18,ios,8,5.571428571428571
2025-11-19,ios,5,5.142857142857143
2025-11-20,ios,9,6.0
2025-11-21,ios,0,4.571428571428571
2025-11-22,ios,1,4.285714285714286
2025-11-23,ios,5,4.714285714285714
2025-11-24,ios,8,5.142857142857143
2025-11-25,ios,8,5.142857142857143
2025-11-26,ios,8,5.571428571428571
2025-11-27,ios,6,5.142857142857143
2025-11-28,ios,3,5.571428571428571
2025-11-29,ios,1,5.571428571428571
2025-11-30,ios,1,5.0
2025-12-01,ios,5,4.571428571428571
2025-12-02,ios,6,4.285714285714286
2025-12-03,ios,6,4.0
2025-12-04,ios,4,3.7142857142857144
2025-12-05,ios,4,3.857142857142857
2025-12-06,ios,2,4.0
2025-12-07,ios,3,4.285714285714286
2025-12-08,ios,2,3.857142857142857
2025-12-09,ios,6,3.857142857142857
2025-12-10,ios,5,3.7142857142857144
2025-12-11,ios,5,3.857142857142857
2025-12-12,ios,8,4.428571428571429
2025-12-13,ios,2,4.428571428571429
2025-12-14,ios,2,4.285714285714286
2025-12-15,ios,6,4.857142857142857
2025-12-16,ios,1,4.142857142857143
2025-12-17,ios,6,4.285714285714286
2025-12-18,ios,7,4.571428571428571
2025-12-19,ios,11,5.0
2025-12-20,ios,4,5.285714285714286
2025-12-21,ios,0,5.0
2025-12-22,ios,3,4.571428571428571
2025-12-23,ios,6,5.285714285714286
2025-12-24,ios,7,5.428571428571429
2025-12-25,ios,0,4.428571428571429
2025-12-26,ios,5,3.5714285714285716
2025-12-27,ios,3,3.4285714285714284
